year,month,day_of_week,hour,is_weekend,n_occupants,is_peak,y_kWh
2025,11,5,0,1,4,0,1.67
2025,11,5,1,1,6,0,2.56
2025,11,5,2,1,4,0,2.58
2025,11,5,3,1,3,0,2.26
2025,11,5,4,1,5,0,2.69
2025,11,5,5,1,4,0,3.46
2025,11,5,6,1,5,1,2.27
2025,11,5,7,1,3,1,2.84
2025,11,5,8,1,3,1,3.25
2025,11,5,9,1,2,0,2.45
2025,11,5,10,1,3,0,2.3
2025,11,5,11,1,3,0,2.23
2025,11,5,12,1,2,0,2.45
2025,11,5,13,1,2,0,1.55
2025,11,5,14,1,3,0,1.37
2025,11,5,15,1,5,0,3.05
2025,11,5,16,1,6,0,1.8
2025,11,5,17,1,2,0,1.69
2025,11,5,18,1,2,0,1.3
2025,11,5,19,1,6,1,1.15
2025,11,5,20,1,3,1,1.36
2025,11,5,21,1,5,1,1.74
2025,11,5,22,1,4,0,1.22
2025,11,5,23,1,6,0,3.43
2025,11,6,0,1,4,0,1.62
2025,11,6,1,1,6,0,2.07
2025,11,6,2,1,2,0,2.77
2025,11,6,3,1,2,0,2.28
2025,11,6,4,1,3,0,2.82
2025,11,6,5,1,5,0,2.71
2025,11,6,6,1,6,1,2.92
2025,11,6,7,1,6,1,2.13
2025,11,6,8,1,6,1,2.33
2025,11,6,9,1,3,0,2.5
2025,11,6,10,1,5,0,2.78
2025,11,6,11,1,4,0,2.21
2025,11,6,12,1,3,0,2.0
2025,11,6,13,1,6,0,1.95
2025,11,6,14,1,2,0,1.24
2025,11,6,15,1,5,0,1.38
2025,11,6,16,1,4,0,0.89
2025,11,6,17,1,2,0,0.52
2025,11,6,18,1,5,0,0.88
2025,11,6,19,1,4,1,1.21
2025,11,6,20,1,4,1,2.27
2025,11,6,21,1,4,1,1.29
2025,11,6,22,1,4,0,2.22
2025,11,6,23,1,6,0,1.87
2025,11,0,0,0,5,0,2.29
2025,11,0,1,0,5,0,2.93
2025,11,0,2,0,6,0,2.11
2025,11,0,3,0,6,0,2.4
2025,11,0,4,0,5,0,3.39
2025,11,0,5,0,4,0,2.73
2025,11,0,6,0,2,1,3.01
2025,11,0,7,0,6,1,3.29
2025,11,0,8,0,5,1,3.13
2025,11,0,9,0,3,0,3.23
2025,11,0,10,0,5,0,2.95
2025,11,0,11,0,4,0,2.58
2025,11,0,12,0,3,0,1.77
2025,11,0,13,0,4,0,1.98
2025,11,0,14,0,6,0,1.59
2025,11,0,15,0,2,0,0.9
2025,11,0,16,0,3,0,1.56
2025,11,0,17,0,6,0,1.28
2025,11,0,18,0,4,0,1.01
2025,11,0,19,0,3,1,0.96
2025,11,0,20,0,3,1,0.77
2025,11,0,21,0,5,1,1.35
2025,11,0,22,0,6,0,1.64
2025,11,0,23,0,3,0,1.49
2025,11,1,0,0,2,0,2.35
2025,11,1,1,0,2,0,1.93
